,음식,구간,label
468,"('현미밥', '사과', '달걀프라이')",7,400
469,"('현미밥', '사과', '닭가슴살샐러드')",9,401
470,"('현미밥', '사과', '고구마맛탕')",12,397
471,"('현미밥', '사과', '채소샐러드')",9,406
472,"('현미밥', '사과', '쇠고기수육')",12,404
473,"('현미밥', '포도', '과일샐러드')",8,454
474,"('현미밥', '포도', '마늘쫑무침')",4,458
475,"('현미밥', '포도', '두부조림')",6,457
476,"('현미밥', '포도', '건취나물무침')",5,451
477,"('현미밥', '포도', '고구마줄기나물무침')",5,453
478,"('현미밥', '포도', '시금치나물무침')",4,460
